Order_ID,pH_0_30,BD_0_30,WHC_0_30,TC_Soil_0_30,TN_Soil_0_30,TP_Soil_0_30,C_N_Soil_0_30,Simpson,Shannon_wiener,Pielou,Richness,AGB,Cover_Plant,High_Plant,Number,TC_Plant,TN_Plant,TP_Plant,C_N_Plant,BGB_0_30,TC_Root_0_30,TN_Root_0_30,TP_Root_0_30,Relative_Coverage_Sedges,Relative_Coverage_Grass,Relative_Coverage_Shrubs,Relative_Coverage_Toxic_Plants,Relative_Coverage_Desirable_forbs,Relative_Quantity_Sedges,Relative_Quantity_Grass,Relative_Quantity_Shrubs,Relative_Quantity_Toxic_Plants,Relative_Quantity_Desirable_forbs,Relative_AGB_Sedges,Relative_AGB_Grass,Relative_AGB_Shrubs,Relative_AGB_Toxic_Plants,Relative_AGB_Desirable_forbs,Pi_Sedges,Pi_Grass,Pi_Shrubs,Pi_Toxic_Plants,Pi_Desirable_forbs,Relative_High_Sedges,Relative_High_Grass,Relative_High_Shrubs,Relative_High_Toxic_Plants,Relative_High_Desirable_forbs,Precipitation,Temperature,Growing_season_precipitation
1_1,7.2,2.4,24.61,128.63,13.78,2.03,9.34,0.92,2.6,0.88,20,30.87,93,3.5,928,15.96,0.84,0.1,19.03,913.53,241.26,7.78,0.56,0.16,0.07,0,0.49,0.16,0.04,0.11,0.01,0.58,0.26,0.32,0.17,0.02,0.4,0.09,0.08,0.31,0.04,0.37,0.16,0.04,0.75,0.11,0.05,0.06,3866,-4.8,3672
1_2,7.2,2.54,19.74,72.34,8.91,1.58,8.12,0.85,2.19,0.77,17,88.88,66,3,315,26.68,1.29,0.15,20.76,498.29,196.26,7.82,0.42,0,0.24,0,0.4,0.36,0,0.11,0,0.53,0.36,0,0.24,0,0.59,0.18,0,0.27,0,0.42,0.31,0,0.45,0,0.33,0.21,3866,-4.8,3672
1_3,6.97,2.4,18.73,191.81,18.24,2.32,10.52,0.88,2.38,0.88,15,68.96,28,2.5,193,21.2,1.66,0.14,12.75,370.9,140.48,5.84,0.24,0,0.02,0,0.48,0.51,0,0.01,0,0.48,0.52,0,0.01,0,0.45,0.54,0,0.06,0,0.52,0.42,0,0.14,0,0.61,0.24,3866,-4.8,3672
1_4,7.89,2.52,24.29,109.45,11.66,2.76,9.39,0.84,2.18,0.8,15,61.48,27,2,393,14.05,0.76,0.05,18.56,253.04,99.45,3.56,0.16,0.04,0.51,0.03,0.29,0.13,0.02,0.04,0.01,0.38,0.56,0.05,0.02,0.29,0.4,0.23,0.08,0.19,0.07,0.33,0.32,0.18,0.03,0.18,0.33,0.27,3866,-4.8,3672
1_5,7.18,2.32,25.42,92.31,10.7,2.47,8.63,0.87,2.39,0.84,17,63.51,50,2.7,439,3.64,0.23,0.02,15.62,270.38,106.62,4.4,0.16,0,0.05,0,0.83,0.11,0,0.01,0,0.64,0.35,0,0.21,0,0.54,0.25,0,0.11,0.01,0.6,0.28,0,0.25,0.03,0.34,0.38,3866,-4.8,3672
2_1,7.64,2.48,24.46,105.14,9.13,2.63,11.52,0.91,2.64,0.87,21,66.92,70,2.6,704,34.19,2.34,0.17,14.62,4677.85,928.3,40.89,3.03,0.24,0.2,0,0.07,0.49,0.04,0.02,0,0.33,0.61,0.43,0.11,0,0.16,0.3,0.11,0.16,0,0.29,0.45,0.04,0.25,0,0.47,0.24,3940,-5,3723
2_2,7.83,2.4,22.42,81.48,9.12,2.23,8.93,0.92,2.78,0.9,22,88.87,65,4.5,562,32.56,1.84,0.17,17.7,708,213.39,8.35,0.58,0.3,0.09,0,0.4,0.22,0.06,0.05,0,0.66,0.23,0.33,0.12,0,0.34,0.21,0.13,0.2,0,0.46,0.21,0.02,0.47,0,0.33,0.18,3940,-5,3723
2_3,7.77,2.3,24.35,149.26,14.4,2.77,10.37,0.93,2.84,0.91,23,111.2,70,3.5,958,22.7,1.41,0.1,16.09,1361.41,421.74,11.87,0.92,0.35,0.03,0,0.44,0.19,0.07,0.03,0,0.44,0.46,0.43,0.06,0,0.29,0.23,0.16,0.13,0,0.41,0.3,0.07,0.32,0,0.35,0.26,3915,-5.1,3706
2_4,7.46,2.17,29.37,132.03,12.78,2.27,10.33,0.89,2.49,0.88,17,55.04,97,0.9,669,12.89,0.85,0.07,15.18,2421.25,798.94,22.55,1.65,0.68,0,0,0.17,0.16,0.07,0,0,0.54,0.39,0.52,0,0.01,0.19,0.28,0.28,0,0.02,0.34,0.35,0.11,0,0.07,0.31,0.51,3940,-5.2,3724
2_5,7.32,2.21,26.04,169.48,17.78,3.1,9.53,0.93,2.74,0.95,18,52.17,21,2,164,16.7,1.14,0.1,14.59,3863.25,1113.62,37.29,2.57,0.38,0.12,0,0.28,0.22,0.1,0.05,0,0.4,0.45,0.35,0.09,0,0.26,0.29,0.2,0.17,0,0.34,0.28,0.13,0.33,0,0.34,0.19,3940,-5,3723
